,a2_i,a2_j,a1_i,a1_j,b2_i,b2_j,b1_i,b1_j,y1,y2
125,5.0,0.0,6.0,2.0,3.0,5.0,3.0,0.0,2.0,0.0
126,6.0,0.0,6.0,2.0,2.0,5.0,2.0,0.0,1.0,0.0
127,6.0,0.0,6.0,2.0,3.0,5.0,3.0,0.0,1.0,0.0
128,5.0,0.0,6.0,2.0,3.0,4.0,3.0,0.0,2.0,0.0
129,6.0,0.0,6.0,2.0,2.0,4.0,3.0,0.0,1.0,0.0
130,6.0,0.0,6.0,2.0,1.0,4.0,3.0,1.0,0.0,0.0
131,5.0,0.0,6.0,2.0,1.0,4.0,3.0,0.0,2.0,0.0
132,6.0,0.0,6.0,2.0,2.0,4.0,3.0,1.0,0.0,0.0
133,6.0,0.0,6.0,2.0,2.0,4.0,3.0,1.0,0.0,0.0
134,5.0,0.0,5.0,2.0,2.0,3.0,2.0,1.0,2.0,0.0
135,5.0,1.0,6.0,2.0,3.0,3.0,3.0,1.0,2.0,0.0
136,6.0,1.0,6.0,2.0,3.0,4.0,3.0,2.0,3.0,0.0
137,6.0,0.0,6.0,2.0,3.0,5.0,3.0,1.0,0.0,0.0
138,6.0,0.0,6.0,3.0,2.0,5.0,3.0,1.0,0.0,0.0
139,6.0,0.0,6.0,4.0,2.0,6.0,3.0,0.0,1.0,0.0
140,5.0,0.0,5.0,4.0,1.0,6.0,3.0,1.0,2.0,0.0
141,5.0,0.0,5.0,3.0,0.0,6.0,3.0,2.0,2.0,0.0
142,5.0,0.0,5.0,2.0,0.0,6.0,2.0,2.0,2.0,0.0
143,5.0,0.0,5.0,3.0,0.0,6.0,2.0,3.0,2.0,0.0
144,5.0,0.0,6.0,3.0,0.0,6.0,2.0,2.0,2.0,0.0
145,5.0,1.0,5.0,3.0,1.0,6.0,2.0,1.0,2.0,0.0
146,5.0,0.0,6.0,3.0,0.0,6.0,2.0,0.0,2.0,0.0
147,5.0,0.0,6.0,4.0,1.0,6.0,2.0,0.0,2.0,0.0
148,5.0,1.0,6.0,3.0,1.0,5.0,1.0,0.0,2.0,0.0
149,5.0,0.0,5.0,3.0,1.0,5.0,2.0,0.0,2.0,0.0
150,5.0,0.0,6.0,3.0,0.0,5.0,2.0,1.0,2.0,0.0
151,5.0,1.0,5.0,3.0,1.0,5.0,1.0,1.0,2.0,0.0
152,4.0,1.0,5.0,2.0,1.0,5.0,1.0,2.0,2.0,0.0
153,5.0,1.0,5.0,1.0,0.0,5.0,0.0,2.0,2.0,0.0
154,5.0,2.0,4.0,1.0,0.0,5.0,1.0,2.0,2.0,0.0
155,5.0,3.0,3.0,1.0,0.0,6.0,1.0,3.0,2.0,1.0
156,5.0,2.0,3.0,2.0,0.0,6.0,1.0,2.0,2.0,1.0
157,5.0,3.0,3.0,1.0,0.0,5.0,0.0,2.0,2.0,1.0
158,4.0,3.0,3.0,0.0,1.0,5.0,0.0,1.0,2.0,1.0
159,3.0,3.0,3.0,1.0,2.0,5.0,0.0,0.0,1.0,1.0
160,2.0,3.0,3.0,2.0,2.0,6.0,0.0,1.0,1.0,1.0
161,2.0,2.0,2.0,2.0,2.0,5.0,1.0,1.0,1.0,1.0
162,1.0,2.0,2.0,1.0,3.0,5.0,1.0,0.0,1.0,1.0
163,2.0,2.0,2.0,2.0,3.0,5.0,2.0,0.0,1.0,1.0
164,2.0,3.0,3.0,2.0,3.0,5.0,2.0,0.0,1.0,1.0
165,2.0,2.0,3.0,1.0,4.0,5.0,3.0,0.0,1.0,1.0
166,2.0,1.0,3.0,1.0,4.0,5.0,3.0,0.0,0.0,1.0
167,2.0,0.0,2.0,1.0,4.0,4.0,2.0,0.0,0.0,1.0
168,3.0,0.0,2.0,2.0,3.0,4.0,3.0,0.0,0.0,1.0
169,3.0,1.0,2.0,2.0,3.0,5.0,3.0,1.0,0.0,1.0
170,3.0,0.0,2.0,3.0,4.0,5.0,3.0,1.0,0.0,1.0
171,3.0,1.0,2.0,2.0,3.0,5.0,3.0,1.0,0.0,1.0
172,2.0,1.0,1.0,2.0,4.0,5.0,3.0,1.0,0.0,1.0
173,2.0,2.0,2.0,2.0,3.0,5.0,2.0,1.0,1.0,1.0
174,3.0,2.0,3.0,2.0,4.0,5.0,2.0,0.0,1.0,1.0
175,4.0,2.0,3.0,1.0,4.0,4.0,2.0,0.0,1.0,1.0
176,4.0,3.0,2.0,1.0,4.0,4.0,1.0,0.0,1.0,1.0
177,4.0,4.0,2.0,0.0,4.0,5.0,1.0,0.0,1.0,1.0
178,4.0,4.0,2.0,0.0,4.0,5.0,1.0,1.0,1.0,1.0
179,4.0,5.0,2.0,0.0,3.0,5.0,0.0,1.0,1.0,1.0
180,5.0,5.0,3.0,0.0,4.0,5.0,0.0,0.0,1.0,1.0
181,6.0,5.0,3.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0
182,5.0,5.0,3.0,0.0,4.0,5.0,0.0,0.0,1.0,1.0
183,6.0,5.0,3.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0
184,6.0,6.0,2.0,0.0,5.0,4.0,1.0,0.0,0.0,1.0
185,5.0,6.0,1.0,0.0,5.0,5.0,2.0,0.0,2.0,1.0
186,4.0,6.0,1.0,0.0,5.0,4.0,1.0,0.0,2.0,1.0
187,4.0,6.0,0.0,0.0,4.0,4.0,1.0,0.0,2.0,1.0
188,5.0,6.0,0.0,0.0,5.0,4.0,1.0,1.0,2.0,2.0
189,5.0,5.0,1.0,0.0,5.0,4.0,1.0,1.0,1.0,1.0
190,5.0,6.0,2.0,0.0,6.0,4.0,2.0,1.0,2.0,1.0
191,5.0,5.0,2.0,1.0,6.0,4.0,2.0,2.0,1.0,2.0
192,6.0,5.0,2.0,2.0,6.0,3.0,2.0,2.0,1.0,2.0
193,6.0,5.0,3.0,2.0,6.0,4.0,3.0,2.0,1.0,2.0
194,6.0,5.0,3.0,2.0,5.0,4.0,3.0,3.0,1.0,1.0
195,6.0,6.0,2.0,2.0,5.0,5.0,2.0,3.0,0.0,1.0
196,5.0,6.0,2.0,3.0,5.0,4.0,2.0,4.0,2.0,2.0
